published_doi,biorxiv_doi,published_doi,preprint_title,preprint_category,preprint_date,published_date,published_citation_count,days_to_publish,pub_prefix,pub_name,journal
10.1007/s10548-017-0557-z,10.1101/083733,10.1007/s10548-017-0557-z,THETA-Rhythm makes the world go round: Dissociative effects of TMS theta vs alpha entrainment of right pTPJ on embodied perspective transformations,neuroscience,2016-10-26,2017-03-03,1,128.0,10.1007,Springer-Verlag,Brain Topography
10.1016/j.jphysparis.2017.02.005,10.1101/086991,10.1016/j.jphysparis.2017.02.005,Recent progress in multi-electrode spike sorting methods,neuroscience,2016-11-10,2017-03-02,3,112.0,10.1016,Elsevier,Journal of Physiology-Paris
10.3389/fnbeh.2017.00008,10.1101/081240,10.3389/fnbeh.2017.00008,Ring attractor dynamics emerge from a spiking model of the entire protocerebral bridge,neuroscience,2016-10-16,2017-02-14,10,121.0,10.3389,Frontiers Media SA,Frontiers in Behavioral Neuroscience
10.1523/jneurosci.2728-16.2017,10.1101/102673,10.1523/JNEUROSCI.2728-16.2017,Locomotion enhances neural encoding of visual stimuli in mouse V1,neuroscience,2017-01-24,2017-03-06,12,41.0,10.1523,Society for Neuroscience,The Journal of Neuroscience
10.1523/jneurosci.3760-16.2017,10.1101/109660,10.1523/JNEUROSCI.3760-16.2017,Locomotion induces stimulus-specific response enhancementin adult visual cortex,neuroscience,2017-02-22,2017-03-03,6,9.0,10.1523,Society for Neuroscience,The Journal of Neuroscience
10.1016/j.neuroimage.2017.02.030,10.1101/110460,10.1016/j.neuroimage.2017.02.030,Improving data availability for brain image biobanking in healthy subjects: practice-based suggestions from an international multidisciplinary working group,neuroscience,2017-02-27,2017-02-14,3,-13.0,10.1016,Elsevier,NeuroImage
10.1016/j.conb.2017.02.013,10.1101/084731,10.1016/j.conb.2017.02.013,Sleep regulation of the distribution of cortical firing rates,neuroscience,2016-11-01,2017-03-10,6,129.0,10.1016,Elsevier,Current Opinion in Neurobiology
10.1126/science.aaj1497,10.1101/096941,10.1126/science.aaj1497,Dynamics of Cortical Dendritic Membrane Potential and Spikes in Freely Behaving Rats,neuroscience,2016-12-28,2017-03-09,7,71.0,10.1126,American Association for the Advancement of Science,Science
10.1371/journal.pgen.1006635,10.1101/090175,10.1371/journal.pgen.1006635,Retrotransposon Activation Contributes to Neurodegeneration in a DrosophilaTDP-43 Model of ALS.,neuroscience,2016-11-28,2017-03-16,17,108.0,10.1371,Public Library of Science,PLOS Genetics
10.1523/eneuro.0091-16.2017,10.1101/090662,10.1523/ENEURO.0091-16.2017,Recurring functional interactions predict network architecture of interictal and ictal states in neocortical epilepsy,neuroscience,2016-11-30,2017-03-08,4,98.0,10.1523,Society for Neuroscience,eneuro
